variable_name,domain,type,unit,range_min,range_max,phase_owner,authorized_writers,depends_on,affects,equation_id,notes
agent.resources.metals.production,agent,flow,indexed_flow,0,,baseline,resources.py,desired_supply;recycling,global_supply_and_price,EQ-RES-010,Includes recycled secondary supply
agent.resources.metals.consumption,agent,flow,indexed_flow,0,,baseline,resources.py,price_substitution;demand,imbalance_prices,EQ-RES-011,Demand is price-sensitive
agent.resources.metals.efficiency,agent,stock,index,0.5,,baseline,actions.py,rd_investment,resource_balance,EQ-RES-012,Technology modifier
relation.trade_intensity,relation,stock,index,0,1,propagate,geopolitics.py;political_dynamics.py,sanctions;war;barriers,trade_flows;gdp,EQ-REL-001,Bilateral trade link strength
relation.trust,relation,stock,share,0,1,propagate,geopolitics.py,sanctions;security;war,conflict_and_sanction_prob,EQ-REL-002,Bilateral political trust
relation.conflict_level,relation,stock,share,0,1,detect,geopolitics.py,security_actions;war_dynamics,war_activation,EQ-REL-003,Bilateral escalation metric
relation.trade_barrier,relation,stock,share,0,1,propagate,geopolitics.py;institutions.py;political_dynamics.py,policy_restrictions;sanctions,effective_trade_intensity,EQ-REL-004,Barrier share applied to trade intensity
relation.at_war,relation,event,binary,0,1,detect,geopolitics.py,conflict_trigger;exhaustion_rule,war_losses_and_duration,EQ-REL-005,War regime switch
relation.war_years,relation,event,years,0,50,detect,geopolitics.py,at_war_state,persistence_penalties,EQ-REL-006,War persistence counter
relation.war_start_gdp,relation,event,trillion_usd,0,,detect,geopolitics.py,gdp_at_war_onset,war_exhaustion_exit,EQ-REL-007,War baseline snapshot
relation.war_start_pop,relation,event,people,0,,detect,geopolitics.py,pop_at_war_onset,war_exhaustion_exit,EQ-REL-008,War baseline snapshot
relation.war_start_resource,relation,event,indexed_stock,0,,detect,geopolitics.py,resource_index_onset,war_exhaustion_exit,EQ-REL-009,War baseline snapshot
global.co2,global,stock,gtco2,2184,,baseline,climate.py,emissions;carbon_pools,forcing_total,EQ-GLB-001,Atmospheric stock above preindustrial baseline
global.carbon_pools,global,stock,gtco2_by_pool,0,,baseline,climate.py,pool_decay;emissions_partition,global_co2,EQ-GLB-002,Multi-timescale carbon cycle
global.forcing_total,global,derived,w_m2,0,,baseline,climate.py,co2;nonco2_forcing,temperature_dynamics,EQ-GLB-003,Radiative forcing aggregate
global.temperature_global,global,stock,celsius_anomaly,-5,10,baseline,climate.py,forcing;ocean_exchange;variability,climate_risk;damage,EQ-GLB-004,Surface temperature state
global.temperature_ocean,global,stock,celsius_anomaly,-5,10,baseline,climate.py,ocean_exchange;surface_temp,coupled_temperature,EQ-GLB-005,Deep-ocean box temperature
global.temp_trend_3yr,global,derived,celsius_per_year,-5,5,reconcile,climate.py,temp_history,observation_features,EQ-GLB-006,Short-run warming trend
global.temp_history,global,derived,list_celsius,-5,10,reconcile,climate.py,temperature_global,temp_trend_3yr,EQ-GLB-007,Rolling 3-year history
global.biodiversity_index,global,stock,index_0_1,0,1,baseline,climate.py,pop_weighted_local_biodiversity,global_risk_reporting,EQ-GLB-008,Aggregated biodiversity health
global.prices.energy,global,stock,index_price,0.3,5,baseline,resources.py,global_supply_demand,economic_and_trade_channels,EQ-GLB-009,Resource market clearing proxy
global.prices.food,global,stock,index_price,0.3,5,baseline,resources.py,global_supply_demand,economic_and_trade_channels,EQ-GLB-010,Resource market clearing proxy
global.prices.metals,global,stock,index_price,0.3,5,baseline,resources.py,global_supply_demand,economic_and_trade_channels,EQ-GLB-011,Resource market clearing proxy
global.global_reserves.energy,global,stock,zj,0,,baseline,resources.py,primary_production;regen;tech_expansion,energy_allocation_caps,EQ-GLB-012,Global resource stock
global.global_reserves.food,global,stock,indexed_stock,0,,baseline,resources.py,production;regen;tech_expansion,scarcity_and_prices,EQ-GLB-013,Global resource stock
global.global_reserves.metals,global,stock,indexed_stock,0,,baseline,resources.py,primary_production;regen;tech_expansion,scarcity_and_prices,EQ-GLB-014,Global resource stock
global.baseline_gdp_pc,global,stock,usd_per_person_per_year,0,,baseline,world_factory.py,initial_state,demography_and_migration_reference,EQ-GLB-015,Reference level for prosperity ratios
institution.legitimacy,institution,stock,share,0,1,baseline,institutions.py,global_trust;tension;org_type,policy_measures_intensity,EQ-INS-001,Updated via smoothing toward type-specific target
institution.budget,institution,flow,trillion_usd_per_year,0,,baseline,institutions.py,total_gdp;legitimacy,liquidity_and_support_measures,EQ-INS-002,Org operational budget
institution.active_rules,institution,event,key_value_map,0,,detect,institutions.py,mandate_and_context,org_measures,EQ-INS-003,Reserved for explicit rule engines in v15
