parameter,dist,p1,p2,low,high,source,rationale
HEAT_CAP_DEEP,triangular,100.0,0,40.0,200.0,"DICE-2016; Geoffroy et al. 2013","Deep-ocean heat capacity; slow thermal reservoir, weakly constrained."
OCEAN_EXCHANGE,triangular,1.0,0,0.4,1.3,"Geoffroy et al. 2013; GIM T1.3 joint recal","Surface-deep ocean heat exchange coefficient. T1.3 joint recal sets production to 1.0 (was 0.7): with HEAT_CAP_SURFACE=8 the stronger heat uptake reconciles the 1990-2023 trend with the 2015-2023 levels (keeps short-window bias within +-0.02). Within Geoffroy gamma range."
DECARB_RATE_STRUCTURAL,triangular,0.052,0,0.04,0.066,"GIM operational artifact / backtest; GCP2023 & WDI carbon-intensity trend","Structural decarbonisation calibration (compound, artifact-bound). Constrained: <0.031 fails historical CO2 envelope. Distinct from raw carbon-intensity decline (~1.5%/yr, GCP/WDI)."
EMISSIONS_SCALE,normal,0.9755,0.02,0.9,1.05,GCP2023 (Global Carbon Project fossil-CO2),"Data-derived emissions scaling bound to the compiled state; tight prior around the GCP-calibrated value."
BASE_BIRTH_RATE,triangular,0.025,0,0.015,0.035,World Bank WDI 2023,"Baseline crude birth rate (pre-GDP modifier). Global crude birth ~17/1000 (2023); model baseline 25/1000 reduced by prosperity terms."
BASE_DEATH_RATE,triangular,0.012,0,0.007,0.017,World Bank WDI 2023,"Baseline crude death rate (pre-modifier). Global crude death ~8/1000 (2023)."
BASE_INTEREST_RATE,triangular,0.02,0,0.005,0.04,IMF WEO 2025; r* literature,"Baseline real interest rate; neutral-rate (r*) estimates ~0.5-2.5%."
TFP_RD_SHARE_SENS,triangular,0.3,0,0.1,0.6,GIM backtest; endogenous-growth R&D elasticity literature,"Sensitivity of TFP growth to R&D spending share; backtest-selected 0.3, wide prior."
ELASTICITY_MARGINAL_UTILITY,triangular,1.45,0,1.0,2.0,"DICE-2016R2 (Nordhaus); Stern Review 2007","eta: CRRA elasticity of marginal utility. Nordhaus 1.45, Stern 1.0; range spans the discounting debate."
PURE_TIME_PREFERENCE,triangular,0.015,0,0.001,0.03,"DICE-2016R2 (Nordhaus); Stern Review 2007","rho: pure rate of time preference. Nordhaus ~1.5%/yr, Stern ~0.1%/yr; the central ethical-discounting parameter."
GROWTH_DAMAGE_TFP_COEFF,triangular,0.0002,0,0.0,0.001,"Burke et al. 2015; Kotz et al. 2024; Moore & Diaz 2015; GIM F4","Per-degC TFP-growth drag (growth-effect climate damage). 0.0 = level-effect-only (DICE / RFF-GIVE view); high = strong growth-effect (Burke/Kotz). At modern 2% discounting + 200y this maps SCC ~$184 (coeff 0) -> $314 (0.0003) -> $490 (0.0007), spanning the level-vs-growth 'catastrophic spread' as explicit sampled uncertainty. Production default 0.0 (conservative, level-only, golden-preserving); the prior lets the ensemble/SCC distribution explore the growth-effect upside. Mode near the low end reflects the unresolved level-vs-growth debate."
LAND_USE_CO2_GTCO2_YR,triangular,0.6,0,0.0,1.5,"Global Carbon Project 2023; GIM emission-driven climate backtest","RESIDUAL land-use CO2 source (GtCO2/yr) beyond what EMISSIONS_SCALE already absorbs. GCB gross net LUC is ~4-5 GtCO2/yr, but EMISSIONS_SCALE=0.9755 implicitly contains most of it; the data-derived residual that closes the 1990-2023 CO2 gap (ppm_rmse 9.76->2.30) is ~0.6. Headline value 0.6 (E2.4 re-anchor); the gross value would double-count."
CARBON_FEEDBACK_CO2_GTCO2_PER_C,triangular,1.5,0,0.0,5.0,"IPCC AR6 WG1 Ch.5; Schuur et al. 2015; McGuire et al. 2018","Permafrost/peat CO2 feedback flux, GtCO2/yr per degC warming above pre-industrial. AR6 assesses a positive but deeply uncertain permafrost carbon feedback (~14-19 GtC/degC cumulative to 2100); expressed here as a per-year flux ~0.4-3.7 GtCO2/yr at present-to-mid-century warming. Default 0 (off); wide right-skewed prior. ADDED on top of AR6 forced response (ECS 3.0), not a dilution of ECS."
CARBON_FEEDBACK_CH4_WM2_PER_C,triangular,0.03,0,0.0,0.1,"IPCC AR6 WG1 Ch.5; Schuur et al. 2015","Permafrost CH4 feedback as a simplified steady-state extra forcing, W/m2 per degC warming. CH4 is short-lived (~12 yr) but high-GWP; modelled here as a forcing term rather than a dynamic CH4 pool (deferred). Small, very uncertain; default 0 (off)."
CES_SIGMA_KE,triangular,0.4,0,0.2,0.6,"van der Werf 2008 (Energy Economics); Koetse et al. 2008 meta-analysis; Stern 2012","Capital-energy substitution elasticity for the nested-CES (KLE) production core (F2.1). Empirical estimates cluster ~0.3-0.5 (gross complements). sigma=1 recovers Cobb-Douglas. Only active when PRODUCTION_FUNCTION='nested_ces' (re-anchor); default core is Cobb-Douglas (golden-preserving)."
MARKET_DEMAND_ELASTICITY,triangular,0.4,0,0.2,0.7,"Labandeira et al. 2017 (energy demand elasticity meta-analysis); IMF/EIA","Price elasticity of resource (energy) demand for the F2.2 partial-clearing price rule. Short-run energy demand elasticity ~0.2-0.4, longer-run higher; gross-inelastic. Only active when MARKET_CLEARING=True (re-anchor); default uses the sluggish tatonnement (golden-preserving)."
